MAE,RÂ²,RMSE,MAPE,samples,Model,Type,Version,Graph_Type
0.10154541407927317,-0.031310595213498216,0.12855222960756713,21.732516895127308,665,XGBoost v1: Original Features,XGBoost,version_1,N/A
0.049246163414513544,0.767501769429555,0.06103721362933683,10.331525439833147,665,XGBoost v3: + Derived Features,XGBoost,version_3,N/A
0.04786147680139708,0.7836264902392387,0.05888259189882841,10.17143080077533,665,XGBoost v4: + Socio-Economic,XGBoost,version_4,N/A
0.08948307109820397,0.1673198594963068,0.11551116848232686,20.108773907208857,665,XGBoost v2: + Infection Rates,XGBoost,version_2,N/A
0.01778419882146256,0.9558205414935405,0.026606948436112547,3.565814643375086,665,LSTM v4: + Socio-Economic,LSTM,version_4,N/A
0.018364627964632743,0.9563689760681661,0.02644128615473148,3.6756861482733703,665,LSTM v3: + Derived Features,LSTM,version_3,N/A
0.022332920883546627,0.9343384404365871,0.03243698429356052,4.295831475763706,665,LSTM v2: + Infection Rates,LSTM,version_2,N/A
0.16734810381972515,-1.7375066490258577,0.20944136758878568,31.33360374107373,665,LSTM v1: Original Features,LSTM,version_1,N/A
0.05157305111723702,0.7377300479658594,0.06482748033332712,11.182544944326688,665,STGCN v2 Adj: + Infection Rates,STGCN,version_2,adjacency
0.04637857679515665,0.7493081352681025,0.06338040267570177,9.246714406878693,665,STGCN v2 Dist: + Infection Rates,STGCN,version_2,distance
0.01595396770144146,0.9618419749211917,0.024727363789538964,3.1910892105319646,665,STGCN v3 Dist: + Derived Features,STGCN,version_3,distance
0.16514362541773864,-1.6510129656631989,0.2061060781963654,31.171501287178433,665,STGCN v1 Adj: Original Features,STGCN,version_1,adjacency
0.14921112327103425,-1.3150929943505218,0.1926056816010713,28.285487232260376,665,STGCN v1 Dist: Original Features,STGCN,version_1,distance
0.01762033231654812,0.9619000145012304,0.02470855107641262,3.714669048638154,665,STGCN v4 Dist: + Socio-Economic,STGCN,version_4,distance
0.01921920720767279,0.9548296426500273,0.02690367678743052,3.7744915832201373,665,STGCN v3 Adj: + Derived Features,STGCN,version_3,adjacency
0.018562034090426498,0.9542447646604314,0.027077294619863742,3.88805232630529,665,STGCN v4 Adj: + Socio-Economic,STGCN,version_4,adjacency
